POS_X;POS_Y;POS_Z;;;VEL_X;VEL_Y;VEL_Z;;;DELAY PER STEP
0;0;-216,79;;;0;0;5,25;;;0,023
0;0;-222,04;;;0;0;5,42;;;
0;0;-227,46;;;0;0;5,6;;;
0;0;-233,06;;;0;0;5,78;;;
0;0;-238,84;;;0;0;5,95;;;
0;0;-244,79;;;0;0;6,13;;;
0;0;-250,92;;;0;0;6,28;;;
0;0;-257,2;;;0;0;6,45;;;
0;0;-263,65;;;1,93;1,12;4,38;;;
1,93;1,12;-268,03;;;2,01;1,15;4,43;;;
3,94;2,27;-272,46;;;2,08;1,21;4,49;;;
6,02;3,48;-276,95;;;2,16;1,24;4,53;;;
8,18;4,72;-281,48;;;2,23;1,29;4,59;;;
10,41;6,01;-286,07;;;2,31;1,33;4,62;;;
12,72;7,34;-290,69;;;2,38;1,38;4,65;;;
15,1;8,72;-295,34;;;2,46;1,42;4,69;;;
17,56;10,14;-300,03;;;2,54;1,46;4,71;;;
20,1;11,6;-304,74;;;2,61;1,51;4,74;;;
22,71;13,11;-309,48;;;2,69;1,56;4,75;;;
25,4;14,67;-314,23;;;2,77;1,59;4,76;;;
28,17;16,26;-318,99;;;2,83;1,64;4,77;;;
31;17,9;-323,76;;;2,92;1,68;4,78;;;
33,92;19,58;-328,54;;;2,98;1,73;4,77;;;
36,9;21,31;-333,31;;;3,06;1,76;4,76;;;
39,96;23,07;-338,07;;;3,13;1,81;4,76;;;
43,09;24,88;-342,83;;;3,2;1,84;4,74;;;
46,29;26,72;-347,57;;;0,22;3,38;2,36;;;
46,51;30,1;-349,93;;;0,21;3,44;2,33;;;
46,72;33,54;-352,26;;;0,21;3,5;2,31;;;
46,93;37,04;-354,57;;;0,21;3,55;2,27;;;
47,14;40,59;-356,84;;;0,2;3,61;2,25;;;
47,34;44,2;-359,09;;;;;;;;
